Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right
0.0100,336.93,217.14,90.75,94.38,7.92,148.83,48.29,110.22,18.48,19.36,11,13.97,0,9.13,0,0,1054.46,71.94
0.0200,333.85,215.38,92.51,95.92,6.27,151.69,51.48,114.95,18.48,19.36,11,16.39,0,9.13,0,0,1062.05,74.36
0.0300,330.77,213.73,92.51,97.57,7.92,154.55,54.67,119.79,18.48,19.36,11,13.97,0,9.13,0,0,1071.51,71.94
0.0400,330.77,213.73,94.27,99.11,7.92,154.55,57.97,119.79,18.48,19.36,11,16.39,0,6.82,0,0,1078.11,72.05
0.0500,330.77,212.08,94.27,99.11,7.92,157.41,57.97,119.79,16.17,19.36,11,16.39,0,6.82,0,0,1079.32,69.74
0.0600,330.77,212.08,95.92,100.65,7.92,157.41,57.97,119.79,16.17,19.36,11,16.39,0,6.82,0,0,1082.51,69.74
0.0700,327.8,210.32,95.92,100.65,7.92,160.27,61.6,119.79,16.17,17.71,8.25,13.97,0,6.82,0,0,1084.27,62.92
0.0800,327.8,208.67,97.68,100.65,7.92,160.27,61.6,124.63,16.17,17.71,8.25,13.97,0,6.82,0,0,1089.22,62.92
0.0900,324.94,207.02,97.68,102.3,7.92,163.13,65.34,124.63,16.17,17.71,8.25,13.97,0,6.82,0,0,1092.96,62.92
0.1000,321.97,203.61,97.68,102.3,7.92,163.13,69.08,124.63,16.17,17.71,8.25,13.97,0,6.82,0,0,1090.32,62.92
0.1100,316.25,198.55,99.44,103.84,7.92,163.13,72.82,124.63,16.17,17.71,8.25,13.97,0,6.82,0,0,1086.58,62.92
0.1200,310.42,195.14,97.68,103.84,7.92,166.1,76.56,129.47,16.17,17.71,8.25,13.97,0,6.82,0,0,1087.13,62.92
0.1300,301.73,188.43,97.68,103.84,7.92,168.96,80.3,134.31,16.17,17.71,8.25,13.97,0,6.82,0,0,1083.17,62.92
0.1400,293.04,181.61,97.68,105.38,7.92,171.82,87.78,139.15,16.17,17.71,8.25,13.97,0,6.82,0,0,1084.38,62.92
0.1500,281.38,174.9,95.92,107.03,7.92,177.54,95.26,139.15,16.17,17.71,8.25,13.97,0,6.82,0,0,1079.1,62.92
0.1600,269.83,166.54,94.27,110.22,7.92,180.4,106.48,148.83,13.86,17.71,8.25,13.97,0,6.82,0,0,1084.49,60.61
0.1700,258.17,158.73,90.75,111.87,9.46,186.12,113.74,153.67,13.86,17.71,8.25,13.97,0,6.82,0,0,1082.51,60.61
0.1800,240.79,147.62,87.23,115.17,9.46,194.7,124.3,163.35,13.86,17.71,8.25,13.97,0,6.82,0,0,1082.62,60.61
0.1900,223.41,138.27,81.95,118.47,9.46,200.42,138.49,173.47,13.86,16.06,8.25,13.97,0,6.82,0,0,1083.94,58.96
0.2000,206.36,125.62,75.02,121.88,9.46,209,149.05,189.64,13.86,16.06,5.5,13.97,0,6.82,0,0,1086.03,56.21
0.2100,189.42,113.08,67.98,125.18,9.46,217.58,163.24,200.42,13.86,17.71,8.25,13.97,0,4.51,0,0,1086.36,58.3
0.2200,169.62,98.89,59.18,125.18,9.46,226.05,177.76,216.59,13.86,17.71,8.25,13.97,0,4.51,0,0,1082.73,58.3
