,0,1
0,-8966.318451410642,-250.54716289209944
1,-8920.530939520397,-301.69050796128204
2,-9081.6816229433,-516.3759580318009
3,-8625.144089312533,-737.1111572031568
4,-9176.574047724731,-354.44265573311714
5,-10036.887825187458,269.9244436307199
6,-8961.656861826865,-655.6140241537239
7,-9651.788339755214,-465.42369924768235
8,-9962.390028582136,133.47168100493636
9,-9998.241266374886,72.10972244017053
10,-10172.519991741694,144.26373135311943
11,-10138.047970721427,156.89748351103273
12,-9990.909588059496,218.72563701683274
13,-8332.107482413043,171.72725568751542
14,-8076.410107904137,158.69274570130875
15,-8306.231795999904,-318.36364273305
16,-7775.40817257015,206.651271749633
17,-7775.40817257015,206.651271749633
18,-7523.583979008709,949.972002584359
19,-7208.488730025762,968.6336445435219
20,-7687.033115812923,534.4302132778184
21,-7020.565489584062,1447.736205068761
22,-6723.659739276461,405.9831749411644
23,-7184.342497603857,1031.9296903260697
24,-6491.670488085158,584.556402974863
25,-6716.84616725882,664.0558865750769
26,-6347.396969040722,792.6037846316311
27,-6521.014728972374,1641.2264944326496
28,-5994.213527312481,1078.9172506675307
29,-6491.670488085158,584.556402974863
30,-7018.49648876883,1148.184307949488
31,-6427.153704790221,945.9461252186161
32,-8001.9077593226275,285.0501263584621
33,-9108.964764101322,311.1645292574125
34,-10518.033568260493,78.72943870633112
35,-11597.452524996492,-913.5527094181062
36,-13978.563630119896,-2177.654394943642
37,-17066.725348880987,-3622.708823855264
38,-19536.21853052936,-4268.709574101755
39,-23112.503959292055,-6212.184608129673
40,-27685.26238060802,-8239.26756532746
41,-31350.663841614234,-9729.768241663978
42,-35208.45919750556,-12077.859635046827
43,-39452.25263322055,-13207.906439090673
44,-42976.17881950274,-14064.742147932178
45,-47416.696696105195,-14957.466947507677
46,-51102.9352722337,-15830.104158803397
47,-54302.77331475665,-16129.05998094167
48,-57601.67918727203,-16905.435722358812
49,-60242.17141031515,-16805.136059475877
50,-62050.95092560801,-17084.02022899889
51,-64379.470995172735,-16443.452561968916
52,-65919.49177954959,-16330.071409000899
53,-65554.11011108242,-14555.313054445956
54,-65517.821469626855,-12874.402829698613
55,-64866.74998224735,-10971.795429907921
56,-63461.77555329512,-8523.345504102252
57,-60623.55690185613,-3768.7938727292853
58,-56384.94406166521,1037.562477512669
59,-51474.78650666445,7079.874876433637
60,-46177.197334385855,13919.002048867322
61,-38338.60693229397,21784.5878684874
62,-29996.265479261412,31333.359325317993
63,-20782.09254722998,41854.51492830312
64,-10685.71882388995,53162.83153705157
65,398.7710827034285,65030.91489642909
66,10443.93639615482,75883.27862417775
67,20194.744819991174,86102.74680394211
68,29442.387696993363,95588.77149557641
69,37172.75793272958,103269.28235630978
70,44728.43322895307,109122.81874848128
71,50481.30835707784,111817.82421855335
72,55464.763695353824,113023.21639945233
73,59758.944747486,112872.01045448978
74,63404.43571588314,112297.20571962092
75,66569.56952354229,111255.71490734466
76,69024.06725988413,110451.28628204692
77,70857.05518855818,108192.76435236368
78,72352.72622270515,106269.90731838408
79,73478.74874220658,106011.67062073183
80,73974.72011305315,104246.73660881251
81,74487.62330811644,103830.94005495515
82,73952.53576935333,101645.08928856585
83,75105.57583143823,99937.175014769
84,74363.0446091171,98545.08956618262
85,74315.01309838015,95681.96219307734
86,73246.75013536276,93249.33221756335
87,73882.34029203872,90810.99897190784
88,72610.65539180544,88231.44648734908
89,72876.03302728324,85765.74594824018
90,72100.55752732031,83587.55269838103
91,72351.3717690979,82447.63509353765
92,71567.94070071098,79417.22362842511
93,71422.32662118606,77985.0157969464
94,71337.5295693772,77309.1213954631
95,72272.0814973612,75573.62542779693
96,71850.3755704423,74747.6227608253
97,72534.86181522516,72229.34311851431
98,73258.55901182965,70304.78955169766
99,72844.93432098461,69288.8884166284
100,74044.79526214824,67400.37493035704
101,75630.44201966749,65318.60267024167
102,75924.02623665212,62375.61055914906
103,77772.32934649062,59238.32309788743
104,78229.6641583881,54544.77548918286
105,80330.92914322746,50894.9513432522
106,80899.38624064176,46262.60552995066
107,82925.7635986272,41023.055527447475
108,83875.21136970237,34905.13104576281
109,85716.2675710601,27822.852896078257
110,86864.34739624424,20677.20046862682
111,87716.46151815065,14108.71284545681
112,89873.61490635175,5926.634403507988
113,92240.16217296853,-1783.4590261925034
114,93803.61448363481,-9987.769447538074
115,96193.38776892754,-18706.331934121026
116,98810.10786473368,-27305.96171300845
117,100909.49064348493,-35642.1437951061
118,105325.14535362276,-45809.313887273
119,107304.5740346054,-55604.52323741861
120,109659.25964222112,-68509.59430775237
121,109144.2070322769,-86759.16828693445
122,101949.65076687957,-112887.23345188992
123,91080.74623596054,-135786.39727520006
124,80987.78245368208,-153881.51908148287
125,68498.62361282003,-173892.54323361322
126,56127.381007384094,-185596.53572696188
127,46353.068277509694,-188414.36566999895
128,40032.32131316975,-183006.56095496332
129,31698.761944722355,-178631.91723091397
130,20057.305097678454,-167313.06999282422
131,5848.28752256619,-156940.73987509983
132,-12137.484909347555,-144561.4658594667
133,-30085.51361016332,-130724.34812432337
134,-49336.42535216242,-116423.53342057504
135,-67627.7442335271,-104681.28534623975
136,-82191.33286736743,-93738.73210715392
137,-95923.2747649473,-84985.15664803136
138,-105459.04692202205,-79560.73821656915
139,-112245.03605955174,-75040.65939065974
140,-118037.03030565043,-72106.82011735471
141,-123065.00656434617,-70987.3625987972
142,-125425.83691412612,-71566.93799331757
143,-127269.6508585626,-69841.93815824768
144,-128752.27422872592,-69902.22043589182
145,-129041.77719864655,-69927.69498114155
146,-130158.84570812038,-70309.81558841316
147,-130014.83539651222,-69484.25095832984
148,-128730.00939343347,-68482.95278915965
149,-129374.22327605097,-68389.77896963038
150,-128408.14248026727,-67601.9107828065
151,-128392.15405630128,-67644.8668594306
152,-128167.2123105103,-67101.97404415198
153,-126400.6275073873,-65787.72212479239
154,-126690.25838283234,-65968.28975868308
155,-124957.73644998793,-64823.836861903066
156,-124636.87497399737,-64296.417832426785
157,-123778.86945674355,-63673.09543842963
